City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Fortuna,US,66.99,40.6,-124.16,
1,Cordoba,AR,77.0,-31.41,-64.18,
2,Mahebourg,MU,71.6,-20.41,57.7,
3,Arraial Do Cabo,BR,70.45,-22.97,-42.03,
5,San Policarpo,PH,79.74,12.18,125.51,
6,Hermanus,ZA,64.0,-34.42,19.23,
7,Vaini,TO,80.6,-21.2,-175.2,
8,Nova Olimpia,BR,84.06,-14.8,-57.29,
10,Punta Arenas,CL,50.0,-53.15,-70.92,
11,Geraldton,AU,55.4,-28.77,114.6,
13,Atuona,PF,77.85,-9.8,-139.03,
14,Alofi,NU,80.6,-19.06,-169.92,
15,Rikitea,PF,73.08,-23.12,-134.97,
16,Castro,BR,57.78,-24.79,-50.01,
17,Cape Town,ZA,68.0,-33.93,18.42,
19,Saint-Louis,SN,80.6,16.33,-15.0,
20,Hobart,AU,73.4,-42.88,147.33,
21,Kirakira,SB,83.32,-10.45,161.92,
22,Souillac,MU,71.6,-20.52,57.52,
23,Ushuaia,AR,57.2,-54.8,-68.3,
24,Sokone,SN,77.0,13.88,-16.37,
25,Dorado,PR,84.2,18.46,-66.27,
26,Pocoes,BR,62.51,-14.53,-40.37,
27,San Cristobal,VE,84.2,7.77,-72.22,
28,Archidona,ES,61.0,37.1,-4.39,
29,East London,ZA,68.34,-33.02,27.91,
30,Nikolskoye,RU,50.0,59.7,30.79,
31,Kununurra,AU,78.8,-15.77,128.73,
34,Busselton,AU,57.0,-33.65,115.33,
36,Port Alfred,ZA,65.12,-33.59,26.89,
38,Butaritari,KI,81.36,3.07,172.79,
39,Nhulunbuy,AU,84.2,-12.23,136.77,
41,Bystrice Nad Pernstejnem,CZ,55.0,49.52,16.26,
43,Puerto Ayora,EC,69.01,-0.74,-90.35,
44,Mweka,CD,69.73,-4.85,21.57,
45,Kruisfontein,ZA,64.99,-34.0,24.73,
46,Airai,TL,69.64,-8.93,125.41,
49,Ribeira Grande,PT,61.88,38.52,-28.7,
50,Kurtalan,TR,59.0,37.93,41.7,
51,Cloquet,US,68.0,46.72,-92.46,
53,Mataura,NZ,64.99,-46.19,168.86,
55,Tripoli,LY,69.78,32.88,13.19,
56,Lebu,CL,54.66,-37.62,-73.65,
58,Victoria,HK,71.01,22.29,114.16,
59,Abu Dhabi,AE,77.0,24.47,54.37,
60,Biak,ID,78.96,-0.91,122.88,
62,Mogadishu,SO,78.76,2.04,45.34,
63,Boyolangu,ID,76.62,-8.12,111.89,
65,Shakawe,BW,67.78,-18.37,21.85,
66,Bhinmal,IN,68.47,25.0,72.25,
70,Bambous Virieux,MU,71.6,-20.34,57.76,
71,Shenjiamen,CN,59.18,29.96,122.3,
72,Sao Filipe,CV,78.85,14.9,-24.5,
73,Durazno,UY,58.62,-33.41,-56.5,
74,Kyabram,AU,66.99,-36.32,145.05,
75,Tuatapere,NZ,64.99,-46.13,167.68,
76,Pisco,PE,68.0,-13.7,-76.22,
77,Aswan,EG,68.22,24.09,32.91,
78,Zinder,NE,80.29,13.81,8.99,
80,Hamilton,US,62.6,39.18,-84.53,
82,Chabahar,IR,73.54,25.29,60.64,
83,Ban Nahin,LA,65.44,18.24,104.21,
85,Kavaratti,IN,82.18,10.57,72.64,
86,Saint George,US,82.4,37.1,-113.58,
87,New Norfolk,AU,73.4,-42.78,147.06,
88,Sandakan,MY,75.2,5.84,118.12,
91,Aguimes,ES,71.6,27.91,-15.45,
92,Rawson,AR,63.72,-43.3,-65.1,
95,Whyalla,AU,62.6,-33.03,137.58,
96,Port Elizabeth,ZA,66.2,-33.92,25.57,
97,Cozumel,MX,77.0,20.51,-86.95,
100,Hilo,US,84.2,19.73,-155.09,
101,Luderitz,,58.71,-26.65,15.16,
102,Hithadhoo,MV,82.65,-0.6,73.08,
104,Ouadda,CF,70.61,8.08,22.4,
105,Kapaa,US,82.4,22.08,-159.32,
106,Labuan,MY,78.8,5.28,115.24,
108,Bredasdorp,ZA,66.2,-34.53,20.04,
109,Artyom,AZ,55.4,40.47,50.33,
111,Carnarvon,AU,64.4,-24.87,113.63,
112,Ruston,US,68.0,32.52,-92.64,
113,Barranca,PE,63.48,-10.75,-77.77,
114,Mount Gambier,AU,55.4,-37.83,140.77,
116,Brownsville,US,78.8,25.9,-97.5,
117,Bluff,NZ,64.99,-46.6,168.33,
118,Saint-Philippe,RE,69.8,-21.36,55.77,
119,Miraflores,MX,71.6,19.22,-98.81,
121,Betioky,MG,70.47,-23.72,44.38,
122,Codrington,AU,57.9,-38.27,141.97,
124,Mandali,IQ,71.92,33.75,45.55,
125,Lata,PT,55.99,40.16,-8.33,
126,Margate,GB,51.01,51.38,1.39,
128,Araouane,ML,83.32,18.9,-3.53,
130,San Andres,CO,75.2,12.58,-81.7,
132,Mar Del Plata,AR,61.0,-38.0,-57.56,
134,Ardakan,IR,57.2,32.31,54.02,
135,Pecos,US,80.6,31.42,-103.49,
136,Chenghai,CN,66.2,23.46,116.77,
139,Cabo San Lucas,MX,86.0,22.89,-109.91,
140,Okitipupa,NG,75.96,6.5,4.78,
142,Bambanglipuro,ID,77.72,-7.95,110.28,
143,Yuxia,CN,52.0,34.06,108.63,
146,Ancud,CL,57.0,-41.87,-73.82,
147,Cidreira,BR,62.33,-30.18,-50.21,
148,Chuy,UY,56.01,-33.7,-53.46,
149,Celestun,MX,77.5,20.87,-90.4,
152,Kralendijk,BQ,83.12,12.15,-68.27,
153,Kaeo,NZ,68.0,-35.1,173.78,
154,Praia Da Vitoria,PT,61.0,38.73,-27.07,
155,Cedar City,US,73.4,37.68,-113.06,
156,Salalah,OM,73.4,17.02,54.09,
157,Georgetown,MY,78.8,5.41,100.34,
158,Naze,JP,66.2,28.37,129.48,
160,Saint Anthony,US,75.2,45.02,-93.22,
161,Dingle,PH,78.42,11.0,122.67,
163,Meulaboh,ID,75.52,4.14,96.13,
164,Vao,NC,74.25,-22.67,167.48,
165,Tiarei,PF,84.2,-17.53,-149.33,
166,Mudgee,AU,66.99,-32.59,149.59,
168,Ponta Do Sol,PT,66.2,32.67,-17.1,
169,Zhicheng,CN,55.0,30.3,111.5,
170,Axim,GH,78.37,4.87,-2.24,
173,Faanui,PF,79.25,-16.48,-151.75,
174,Cap Malheureux,MU,69.01,-19.98,57.61,
176,Grajau,BR,73.69,-5.82,-46.14,
177,Semarang,ID,77.16,-6.99,110.42,
180,Swinoujscie,PL,50.0,53.91,14.25,
181,Mangrol,IN,78.1,21.12,70.12,
183,Calabozo,VE,76.8,8.92,-67.43,
184,Aranos,,71.51,-24.13,19.12,
185,Ninh Binh,VN,66.9,20.25,105.97,
186,Kaitangata,NZ,61.0,-46.28,169.85,
187,Bengkulu,ID,74.62,-3.8,102.27,
190,Sompeta,IN,77.76,18.93,84.6,
191,Faya,SA,60.8,18.39,42.45,
194,Trelew,AR,64.89,-43.25,-65.31,
196,Canaries,ES,71.6,28.0,-15.5,
197,Manta,EC,80.6,-0.95,-80.73,
198,Avanigadda,IN,74.77,16.02,80.92,
199,Hanzhong,CN,51.73,33.07,107.03,
200,Barcelos,PT,50.0,41.54,-8.62,
202,Carballo,ES,50.0,43.21,-8.69,
203,Linares,CL,69.39,-35.85,-71.6,
204,Alta Floresta,BR,79.0,-9.88,-56.09,
205,Canutama,BR,78.17,-6.53,-64.38,
206,Portland,US,57.99,45.52,-122.68,
207,Te Anau,NZ,66.45,-45.42,167.72,
208,Fallon,US,75.99,39.47,-118.78,
209,Payo,ID,71.22,-3.75,103.64,
210,Hualmay,PE,64.67,-11.1,-77.61,
211,Grand Gaube,MU,69.01,-20.01,57.66,
212,Springdale,US,73.4,36.19,-94.13,
213,Heilbron,ZA,61.43,-27.28,27.97,
216,Buala,SB,84.38,-8.14,159.59,
218,Puerto Del Rosario,ES,71.6,28.5,-13.86,
219,Ponta Delgada,PT,60.8,37.73,-25.67,
