City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Fortuna,US,40.6,-124.16,66.99,77,1,3.31
1,Cordoba,AR,-31.41,-64.18,77.0,20,0,13.87
2,Mahebourg,MU,-20.41,57.7,71.6,73,75,2.24
3,Arraial Do Cabo,BR,-22.97,-42.03,70.45,73,90,17.43
4,Kodiak,US,57.79,-152.41,28.4,42,1,21.92
5,San Policarpo,PH,12.18,125.51,79.74,83,100,6.26
6,Hermanus,ZA,-34.42,19.23,64.0,90,77,12.71
7,Vaini,TO,-21.2,-175.2,80.6,78,20,13.87
8,Nova Olimpia,BR,-14.8,-57.29,84.06,45,42,1.88
9,Nanortalik,GL,60.14,-45.24,39.16,84,100,17.58
10,Punta Arenas,CL,-53.15,-70.92,50.0,76,75,9.17
11,Geraldton,AU,-28.77,114.6,55.4,87,18,8.05
12,College,US,64.86,-147.8,-13.0,75,20,0.58
13,Atuona,PF,-9.8,-139.03,77.85,73,14,17.76
14,Alofi,NU,-19.06,-169.92,80.6,74,75,23.04
15,Rikitea,PF,-23.12,-134.97,73.08,71,0,14.67
16,Castro,BR,-24.79,-50.01,57.78,73,49,5.91
17,Cape Town,ZA,-33.93,18.42,68.0,72,20,18.34
18,Tasiilaq,GL,65.61,-37.64,32.0,96,100,44.96
19,Saint-Louis,SN,16.33,-15.0,80.6,47,0,7.52
20,Hobart,AU,-42.88,147.33,73.4,40,75,19.46
21,Kirakira,SB,-10.45,161.92,83.32,75,92,9.1
22,Souillac,MU,-20.52,57.52,71.6,73,75,2.24
23,Ushuaia,AR,-54.8,-68.3,57.2,44,40,20.8
24,Sokone,SN,13.88,-16.37,77.0,100,0,7.72
25,Dorado,PR,18.46,-66.27,84.2,66,75,10.29
26,Pocoes,BR,-14.53,-40.37,62.51,95,98,5.5
27,San Cristobal,VE,7.77,-72.22,84.2,66,40,5.82
28,Archidona,ES,37.1,-4.39,61.0,92,98,3.36
29,East London,ZA,-33.02,27.91,68.34,87,40,5.23
30,Nikolskoye,RU,59.7,30.79,50.0,81,40,8.95
31,Kununurra,AU,-15.77,128.73,78.8,83,10,9.91
32,Ushumun,RU,52.78,126.53,8.11,91,14,10.13
33,Albany,US,42.6,-73.97,36.0,69,55,5.14
34,Busselton,AU,-33.65,115.33,57.0,70,4,14.03
35,Grindavik,IS,63.84,-22.43,41.0,86,75,10.29
36,Port Alfred,ZA,-33.59,26.89,65.12,92,13,2.3
37,Krasnoselkup,RU,65.7,82.47,5.58,95,99,2.91
38,Butaritari,KI,3.07,172.79,81.36,72,69,16.98
39,Nhulunbuy,AU,-12.23,136.77,84.2,79,96,6.93
40,Qaanaaq,GL,77.48,-69.36,1.04,79,2,4.0
41,Bystrice Nad Pernstejnem,CZ,49.52,16.26,55.0,87,100,11.65
42,Sladkovo,RU,55.53,70.34,27.41,93,44,10.6
43,Puerto Ayora,EC,-0.74,-90.35,69.01,91,89,11.01
44,Mweka,CD,-4.85,21.57,69.73,99,93,1.12
45,Kruisfontein,ZA,-34.0,24.73,64.99,92,47,3.49
46,Airai,TL,-8.93,125.41,69.64,57,66,2.01
47,Roma,US,43.21,-75.46,35.6,55,90,8.05
48,Saskylakh,RU,71.92,114.08,-4.07,91,95,2.77
49,Ribeira Grande,PT,38.52,-28.7,61.88,66,15,10.09
50,Kurtalan,TR,37.93,41.7,59.0,72,40,2.24
51,Cloquet,US,46.72,-92.46,68.0,25,1,4.7
52,Yerofey Pavlovich,RU,53.97,121.97,14.13,82,100,3.2
53,Mataura,NZ,-46.19,168.86,64.99,62,0,1.99
54,Klaksvik,FO,62.23,-6.59,44.6,70,100,31.09
55,Tripoli,LY,32.88,13.19,69.78,63,0,7.31
56,Lebu,CL,-37.62,-73.65,54.66,80,2,3.4
57,Khatanga,RU,71.97,102.5,-0.96,94,93,4.56
58,Victoria,HK,22.29,114.16,71.01,64,100,8.99
59,Abu Dhabi,AE,24.47,54.37,77.0,69,0,2.24
60,Biak,ID,-0.91,122.88,78.96,76,82,2.77
61,Yerbogachen,RU,61.28,108.01,19.36,96,99,8.08
62,Mogadishu,SO,2.04,45.34,78.76,83,79,9.55
63,Boyolangu,ID,-8.12,111.89,76.62,81,100,1.99
64,Talnakh,RU,69.49,88.4,-7.6,83,40,2.24
65,Shakawe,BW,-18.37,21.85,67.78,81,100,4.85
66,Bhinmal,IN,25.0,72.25,68.47,33,0,3.47
67,Lavrentiya,RU,65.58,-171.0,18.88,86,52,15.26
68,Gravdal,NO,68.12,13.5,44.6,81,40,26.4
69,Gornopravdinsk,RU,60.05,69.9,26.71,95,100,10.71
70,Bambous Virieux,MU,-20.34,57.76,71.6,73,75,2.24
71,Shenjiamen,CN,29.96,122.3,59.18,61,71,14.79
72,Sao Filipe,CV,14.9,-24.5,78.85,71,83,7.02
73,Durazno,UY,-33.41,-56.5,58.62,85,10,13.56
74,Kyabram,AU,-36.32,145.05,66.99,54,79,10.47
75,Tuatapere,NZ,-46.13,167.68,64.99,62,0,1.99
76,Pisco,PE,-13.7,-76.22,68.0,72,0,11.41
77,Aswan,EG,24.09,32.91,68.22,42,0,12.84
78,Zinder,NE,13.81,8.99,80.29,17,61,12.46
79,Dikson,RU,73.51,80.55,3.99,91,0,5.68
80,Hamilton,US,39.18,-84.53,62.6,36,1,9.17
81,Puksoozero,RU,62.59,40.61,45.18,89,98,11.63
82,Chabahar,IR,25.29,60.64,73.54,64,0,3.98
83,Ban Nahin,LA,18.24,104.21,65.44,77,4,3.76
84,Usinsk,RU,65.99,57.53,37.89,93,100,22.91
85,Kavaratti,IN,10.57,72.64,82.18,73,0,5.5
86,Saint George,US,37.1,-113.58,82.4,20,1,2.8
87,New Norfolk,AU,-42.78,147.06,73.4,40,75,19.46
88,Sandakan,MY,5.84,118.12,75.2,100,20,4.03
89,Longyearbyen,SJ,78.22,15.64,30.2,74,90,14.99
90,Yellowknife,CA,62.46,-114.35,5.0,71,20,11.41
91,Aguimes,ES,27.91,-15.45,71.6,73,40,20.8
92,Rawson,AR,-43.3,-65.1,63.72,59,58,15.37
93,Hofn,IS,64.25,-15.21,41.99,63,25,8.59
94,Zhanakorgan,KZ,43.91,67.25,46.22,49,0,10.02
95,Whyalla,AU,-33.03,137.58,62.6,82,90,17.22
96,Port Elizabeth,ZA,-33.92,25.57,66.2,93,75,5.82
97,Cozumel,MX,20.51,-86.95,77.0,94,90,13.87
98,Nome,US,64.5,-165.41,26.6,68,90,11.41
99,Chokurdakh,RU,70.63,147.92,-16.38,83,0,4.88
100,Hilo,US,19.73,-155.09,84.2,70,75,6.93
101,Luderitz,NA,-26.65,15.16,58.71,91,2,4.27
102,Hithadhoo,MV,-0.6,73.08,82.65,72,99,6.78
103,Barrow,US,71.29,-156.79,10.4,72,90,13.87
104,Ouadda,CF,8.08,22.4,70.61,60,34,2.3
105,Kapaa,US,22.08,-159.32,82.4,78,40,13.87
106,Labuan,MY,5.28,115.24,78.8,88,20,7.81
107,Yar-Sale,RU,66.83,70.83,25.38,98,100,10.25
108,Bredasdorp,ZA,-34.53,20.04,66.2,88,98,8.23
109,Artyom,AZ,40.47,50.33,55.4,93,100,2.24
110,Tiksi,RU,71.69,128.87,10.11,96,100,3.83
111,Carnarvon,AU,-24.87,113.63,64.4,77,0,13.87
112,Ruston,US,32.52,-92.64,68.0,42,1,3.36
113,Barranca,PE,-10.75,-77.77,63.48,81,89,7.23
114,Mount Gambier,AU,-37.83,140.77,55.4,93,90,18.34
115,Vozhega,RU,60.47,40.22,43.38,93,100,9.51
116,Brownsville,US,25.9,-97.5,78.8,44,1,11.41
117,Bluff,NZ,-46.6,168.33,64.99,62,4,1.99
118,Saint-Philippe,RE,-21.36,55.77,69.8,60,0,5.82
119,Miraflores,MX,19.22,-98.81,71.6,35,5,4.7
120,Ilulissat,GL,69.22,-51.1,37.4,69,100,14.99
121,Betioky,MG,-23.72,44.38,70.47,83,15,2.1
122,Codrington,AU,-38.27,141.97,57.9,92,100,15.08
123,Shingu,JP,33.73,135.98,49.01,63,0,6.2
124,Mandali,IQ,33.75,45.55,71.92,25,82,3.96
125,Lata,PT,40.16,-8.33,55.99,84,0,4.83
126,Margate,GB,51.38,1.39,51.01,81,3,1.99
127,Erenhot,CN,43.65,111.98,33.08,74,5,11.39
128,Araouane,ML,18.9,-3.53,83.32,15,100,9.37
129,Tuktoyaktuk,CA,69.45,-133.04,12.2,85,90,9.17
130,San Andres,CO,12.58,-81.7,75.2,94,40,31.79
131,Verkhnevilyuysk,RU,63.45,120.32,8.19,96,99,3.42
132,Mar Del Plata,AR,-38.0,-57.56,61.0,87,0,16.11
133,Vardo,NO,70.37,31.11,39.2,69,0,34.45
134,Ardakan,IR,32.31,54.02,57.2,20,0,4.7
135,Pecos,US,31.42,-103.49,80.6,18,1,5.82
136,Chenghai,CN,23.46,116.77,66.2,68,0,4.47
137,Asau,RO,46.43,26.4,46.0,98,100,2.21
138,Komsomolskiy,UZ,40.43,71.72,42.8,41,13,6.93
139,Cabo San Lucas,MX,22.89,-109.91,86.0,70,5,10.29
140,Okitipupa,NG,6.5,4.78,75.96,95,100,1.23
141,Pevek,RU,69.7,170.31,1.02,92,12,10.07
142,Bambanglipuro,ID,-7.95,110.28,77.72,77,97,1.83
143,Yuxia,CN,34.06,108.63,52.0,93,81,2.24
144,Sobolevo,RU,54.43,31.9,44.51,86,100,8.16
145,Thompson,CA,55.74,-97.86,23.0,92,90,2.24
146,Ancud,CL,-41.87,-73.82,57.0,76,61,18.34
147,Cidreira,BR,-30.18,-50.21,62.33,78,3,12.01
148,Chuy,UY,-33.7,-53.46,56.01,86,0,7.43
149,Celestun,MX,20.87,-90.4,77.5,74,42,16.42
150,Nizhniy Tsasuchey,RU,50.52,115.13,20.5,94,69,7.31
151,Leningradskiy,RU,69.38,178.42,6.98,86,7,17.76
152,Kralendijk,BQ,12.15,-68.27,83.12,78,74,20.87
153,Kaeo,NZ,-35.1,173.78,68.0,86,100,8.99
154,Praia Da Vitoria,PT,38.73,-27.07,61.0,77,75,17.76
155,Cedar City,US,37.68,-113.06,73.4,17,1,13.87
156,Salalah,OM,17.02,54.09,73.4,43,0,4.7
157,Georgetown,MY,5.41,100.34,78.8,83,20,3.36
158,Naze,JP,28.37,129.48,66.2,63,75,21.92
159,Cherskiy,RU,68.75,161.3,-7.2,85,0,2.93
160,Saint Anthony,US,45.02,-93.22,75.2,25,1,8.05
161,Dingle,PH,11.0,122.67,78.42,87,100,1.5
162,Narsaq,GL,60.92,-46.05,37.4,92,100,3.36
163,Meulaboh,ID,4.14,96.13,75.52,93,100,7.49
164,Vao,NC,-22.67,167.48,74.25,89,100,10.11
165,Tiarei,PF,-17.53,-149.33,84.2,70,75,19.46
166,Mudgee,AU,-32.59,149.59,66.99,72,9,1.12
167,Tobermory,CA,45.25,-81.67,39.2,81,94,6.93
168,Ponta Do Sol,PT,32.67,-17.1,66.2,72,75,19.46
169,Zhicheng,CN,30.3,111.5,55.0,70,96,1.79
170,Axim,GH,4.87,-2.24,78.37,86,70,5.68
171,Bonavista,CA,48.65,-53.11,37.99,80,96,4.7
172,Upernavik,GL,72.79,-56.15,18.84,92,100,7.11
173,Faanui,PF,-16.48,-151.75,79.25,82,96,20.96
174,Cap Malheureux,MU,-19.98,57.61,69.01,73,41,1.99
175,Gubkinskiy,RU,64.43,76.5,23.07,98,100,8.81
176,Grajau,BR,-5.82,-46.14,73.69,95,100,4.43
177,Semarang,ID,-6.99,110.42,77.16,81,100,6.15
178,Manturovo,RU,58.34,44.76,36.5,96,22,7.63
179,Kiruna,SE,67.86,20.23,32.0,95,73,11.41
180,Swinoujscie,PL,53.91,14.25,50.0,88,98,14.81
181,Mangrol,IN,21.12,70.12,78.1,43,0,8.28
182,Norman Wells,CA,65.28,-126.83,1.4,84,75,2.24
183,Calabozo,VE,8.92,-67.43,76.8,88,9,4.85
184,Aranos,NA,-24.13,19.12,71.51,42,48,10.92
185,Ninh Binh,VN,20.25,105.97,66.9,68,100,6.44
186,Kaitangata,NZ,-46.28,169.85,61.0,74,0,5.99
187,Bengkulu,ID,-3.8,102.27,74.62,86,80,3.31
188,Mezen,RU,65.85,44.24,44.87,86,100,11.68
189,Jurmala,LV,56.97,23.77,44.6,93,0,6.93
190,Sompeta,IN,18.93,84.6,77.76,77,50,6.35
191,Faya,SA,18.39,42.45,60.8,87,0,4.7
192,Stromness,GB,58.97,-3.3,44.6,81,95,13.87
193,Ossora,RU,59.24,163.07,41.2,90,100,31.56
194,Trelew,AR,-43.25,-65.31,64.89,51,59,20.22
195,Torbay,CA,47.67,-52.73,41.0,80,75,8.05
196,Canaries,ES,28.0,-15.5,71.6,73,40,20.8
197,Manta,EC,-0.95,-80.73,80.6,65,40,13.87
198,Avanigadda,IN,16.02,80.92,74.77,90,62,4.65
199,Hanzhong,CN,33.07,107.03,51.73,64,97,1.43
200,Barcelos,PT,41.54,-8.62,50.0,71,0,10.29
201,Shakhtinsk,KZ,49.71,72.59,24.8,73,90,6.71
202,Carballo,ES,43.21,-8.69,50.0,85,41,4.18
203,Linares,CL,-35.85,-71.6,69.39,54,0,8.25
