City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Iqaluit,CA,,63.75,-68.51,12.2,78,20,5.82
1,Iqaluit,CA,2020-10-25 17:16:34,63.75,-68.51,12.2,78,20,5.82
2,Iqaluit,CA,2020-10-25 17:16:34,63.75,-68.51,12.2,78,20,5.82
3,Alice Springs,AU,2020-10-25 17:12:14,-23.7,133.88,62.6,33,0,6.93
4,Ostrovnoy,RU,2020-10-25 17:17:05,68.05,39.51,29.52,92,72,10.33
5,Tiksi,RU,2020-10-25 17:16:10,71.69,128.87,4.98,90,100,31.25
6,Albany,US,2020-10-25 17:15:36,42.6,-73.97,48.99,58,58,6.08
7,San Cristobal,VE,2020-10-25 17:15:15,7.77,-72.22,84.2,74,75,4.7
8,Shimoda,JP,2020-10-25 17:17:06,34.67,138.95,60.73,59,1,6.44
9,Puerto Ayora,EC,2020-10-25 17:17:06,-0.74,-90.35,75.2,78,75,18.34
10,Lebowakgomo,ZA,2020-10-25 17:17:06,-24.2,29.5,77.0,25,0,8.05
11,Bluff,NZ,2020-10-25 17:17:06,-46.6,168.33,45.0,96,100,1.01
12,Qaqortoq,GL,2020-10-25 17:17:06,60.72,-46.03,41.0,44,100,23.04
13,Cacu,BR,2020-10-25 17:17:06,-18.56,-51.13,90.28,46,52,10.4
14,Guerrero Negro,MX,2020-10-25 17:15:51,27.98,-114.06,68.86,71,100,16.26
15,Nizwa,OM,2020-10-25 17:17:07,22.93,57.53,73.27,21,0,6.31
16,Mataura,NZ,2020-10-25 17:15:49,-46.19,168.86,45.0,96,100,1.01
17,East London,ZA,2020-10-25 17:17:07,-33.02,27.91,64.4,77,0,13.87
18,Rikitea,PF,2020-10-25 17:17:07,-23.12,-134.97,71.38,88,100,17.36
19,Mehamn,NO,2020-10-25 17:17:07,71.04,27.85,33.8,86,0,10.29
20,Fortuna,US,2020-10-25 17:17:07,40.6,-124.16,50.0,100,75,4.09
21,Mareeba,AU,2020-10-25 17:17:07,-17.0,145.43,73.4,83,40,4.7
22,Arraial Do Cabo,BR,2020-10-25 17:17:08,-22.97,-42.03,77.0,69,40,11.41
23,Saint-Paul-Les-Dax,FR,2020-10-25 17:17:08,43.73,-1.05,55.0,93,100,3.36
24,Kapaa,US,2020-10-25 17:17:08,22.08,-159.32,71.6,94,20,3.36
25,Severo-Kurilsk,RU,2020-10-25 17:17:08,50.68,156.12,43.16,83,38,5.28
26,Bunumbu,SL,2020-10-25 17:17:08,8.17,-10.87,88.7,53,96,1.7
27,Butaritari,KI,2020-10-25 17:15:56,3.07,172.79,81.07,72,100,10.96
28,Qui Nhon,VN,2020-10-25 17:17:08,13.77,109.23,77.38,86,87,4.59
29,Uddevalla,SE,2020-10-25 17:17:09,58.35,11.94,51.8,93,100,10.29
30,Qaanaaq,GL,2020-10-25 17:16:15,77.48,-69.36,13.48,80,72,14.23
31,Jibuti,DJ,2020-10-25 17:17:09,11.5,42.5,86.0,58,20,5.82
32,Ushuaia,AR,2020-10-25 17:17:09,-54.8,-68.3,50.0,53,40,5.82
33,Todos Santos,MX,2020-10-25 17:17:09,23.45,-110.22,79.0,74,0,8.99
34,Torbay,CA,2020-10-25 17:16:23,47.67,-52.73,50.0,91,100,1.99
35,Hay River,CA,2020-10-25 17:17:09,60.82,-115.8,19.4,67,40,6.93
36,Pacific Grove,US,2020-10-25 17:17:10,36.62,-121.92,59.0,82,90,4.7
37,Port Elizabeth,ZA,2020-10-25 17:17:10,-33.92,25.57,66.2,77,75,12.75
38,Hobart,AU,2020-10-25 17:16:53,-42.88,147.33,48.2,61,90,8.05
39,Cabra,ES,2020-10-25 17:17:10,37.47,-4.44,66.2,68,75,9.17
40,Havoysund,NO,2020-10-25 17:17:10,71.0,24.66,37.4,74,40,36.91
41,Manhattan,US,2020-10-25 17:12:49,40.78,-73.97,52.0,53,1,8.37
42,Atar,MR,2020-10-25 17:17:10,20.52,-13.05,100.33,9,93,11.79
43,Beyneu,KZ,2020-10-25 17:17:11,45.32,55.2,60.53,63,79,13.09
44,Lorengau,PG,2020-10-25 17:16:49,-2.02,147.27,81.84,72,78,2.91
45,Mar Del Plata,AR,2020-10-25 17:15:33,-38.0,-57.56,64.4,93,90,6.93
46,Half Moon Bay,US,2020-10-25 17:17:12,37.46,-122.43,63.0,77,20,3.36
47,Georgetown,MY,2020-10-25 17:17:13,5.41,100.34,78.8,94,40,2.24
48,Nikolskoye,RU,2020-10-25 17:17:13,59.7,30.79,44.6,81,90,2.24
49,Lacey,US,2020-10-25 17:14:36,47.03,-122.82,41.0,64,1,8.05
50,Naryan-Mar,RU,2020-10-25 17:17:14,67.67,53.09,15.24,95,7,10.49
51,Nanortalik,GL,2020-10-25 17:17:14,60.14,-45.24,34.59,88,100,20.42
52,Beloha,MG,2020-10-25 17:17:14,-25.17,45.05,73.9,53,60,3.94
53,Jamestown,US,2020-10-25 17:16:28,42.1,-79.24,46.0,56,90,5.82
54,Itaituba,BR,2020-10-25 17:13:51,-4.28,-55.98,102.42,28,14,3.65
55,Barrow,US,2020-10-25 17:15:02,71.29,-156.79,26.6,73,90,8.88
56,Bambous Virieux,MU,2020-10-25 17:17:15,-20.34,57.76,75.2,73,75,14.99
57,Brae,GB,2020-10-25 17:17:15,60.4,-1.35,50.0,76,40,19.46
58,Baiyin,CN,2020-10-25 17:17:15,36.56,104.21,54.0,54,0,4.47
59,Busselton,AU,2020-10-25 17:17:15,-33.65,115.33,57.99,58,0,2.75
60,Punta Arenas,CL,2020-10-25 17:12:31,-53.15,-70.92,44.6,81,75,5.82
61,Sao Filipe,CV,2020-10-25 17:17:15,14.9,-24.5,83.88,60,93,17.38
62,Tupik,RU,2020-10-25 17:17:16,54.43,119.93,29.32,94,100,2.04
63,Kashi,CN,2020-10-25 17:17:16,39.45,75.98,55.4,30,75,8.95
64,Remontnoye,RU,2020-10-25 17:17:16,46.56,43.65,57.2,71,0,11.18
65,Komsomolskiy,UZ,2020-10-25 17:17:16,40.43,71.72,48.2,48,0,4.7
66,Beringovskiy,RU,2020-10-25 17:17:16,63.05,179.32,30.45,94,72,5.46
67,Omboue,GA,2020-10-25 17:17:16,-1.57,9.26,78.39,83,93,10.04
68,Mahebourg,MU,2020-10-25 17:17:17,-20.41,57.7,75.2,73,75,14.99
69,Victoria,HK,2020-10-25 17:17:12,22.29,114.16,75.0,79,95,4.0
70,Broken Hill,AU,2020-10-25 17:17:17,-31.95,141.43,42.8,81,1,4.7
71,Plettenberg Bay,ZA,2020-10-25 17:17:17,-34.05,23.37,63.54,85,69,5.41
72,Vaini,TO,2020-10-25 17:17:17,-21.2,-175.2,73.4,88,75,11.41
73,Pangnirtung,CA,2020-10-25 17:17:17,66.15,-65.71,17.6,78,40,3.36
74,Saint George,US,2020-10-25 17:13:23,37.1,-113.58,68.0,42,1,6.62
75,Yumen,CN,2020-10-25 17:17:18,40.28,97.2,35.58,68,64,11.74
76,Polyarnyy,RU,2020-10-25 17:17:18,69.2,33.45,28.4,100,75,4.47
77,Banjar,ID,2020-10-25 17:17:18,-8.19,114.97,80.6,88,20,5.82
78,Provideniya,RU,2020-10-25 17:15:51,64.38,-173.3,32.14,94,44,5.64
79,Faanui,PF,2020-10-25 17:17:18,-16.48,-151.75,79.63,69,37,1.68
80,Alofi,NU,2020-10-25 17:17:18,-19.06,-169.92,71.6,100,100,10.29
81,Qeshm,IR,2020-10-25 17:17:18,26.96,56.27,78.8,31,0,4.7
82,Vila Velha,BR,2020-10-25 17:17:18,-20.33,-40.29,77.0,88,75,2.24
83,Khorramshahr,IR,2020-10-25 17:17:19,30.44,48.17,80.6,28,0,4.7
84,Carnarvon,AU,2020-10-25 17:17:19,-24.87,113.63,69.8,88,90,16.11
85,Tuktoyaktuk,CA,2020-10-25 17:17:19,69.45,-133.04,26.6,86,90,28.86
86,Srednekolymsk,RU,2020-10-25 17:17:19,67.45,153.68,13.55,93,100,1.86
87,Yate,GB,2020-10-25 17:17:19,51.54,-2.42,52.0,82,91,10.67
88,Ribeira Grande,PT,2020-10-25 17:17:19,38.52,-28.7,68.0,68,75,12.75
89,Gat,IL,2020-10-25 17:16:02,31.61,34.76,79.0,74,20,5.82
90,Yaan,NG,2020-10-25 17:17:20,7.38,8.57,80.13,78,41,2.04
91,Gizo,SB,2020-10-25 17:17:20,-8.1,156.84,81.03,75,97,1.86
92,Mizdah,LY,2020-10-25 17:17:20,31.45,12.98,71.06,37,17,8.93
93,Yellowknife,CA,2020-10-25 17:14:11,62.46,-114.35,28.99,86,75,8.05
94,Sioux Lookout,CA,2020-10-25 17:15:45,50.1,-91.92,23.0,67,75,8.05
95,Atuona,PF,2020-10-25 17:15:49,-9.8,-139.03,78.24,76,11,19.46
96,Tuatapere,NZ,2020-10-25 17:17:21,-46.13,167.68,45.0,96,100,1.01
97,Tilichiki,RU,2020-10-25 17:17:21,60.47,166.1,29.8,97,55,7.05
98,Santa Fe,AR,2020-10-25 17:15:32,-31.63,-60.7,68.0,100,90,4.7
99,Mandalgovi,MN,2020-10-25 17:17:21,45.76,106.27,30.49,75,0,21.88
100,Saint-Joseph,RE,2020-10-25 17:17:21,-21.37,55.62,73.4,69,20,6.93
101,Caravelas,BR,2020-10-25 17:17:21,-17.71,-39.25,77.77,82,100,7.61
102,Ous,RU,2020-10-25 17:17:21,60.91,61.52,25.77,99,100,1.92
103,Waitati,NZ,2020-10-25 17:17:22,-45.75,170.57,46.99,90,100,8.01
