,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,new norfolk,AU,2020-10-28 00:05:52,-42.78,147.06,91,54,62.27599999999999,1.34
1,nikolskoye,RU,2020-10-28 00:08:18,59.7,30.79,90,87,52.26799999999999,5
2,vaini,TO,2020-10-28 00:08:18,-21.2,-175.2,20,74,79.06999999999996,4.1
3,warrnambool,AU,2020-10-28 00:08:18,-38.38,142.48,42,70,65.26400000000004,0.45
4,port elizabeth,ZA,2020-10-28 00:08:18,-33.92,25.57,0,87,61.069999999999965,2.6
5,rocha,UY,2020-10-28 00:08:18,-34.48,-54.33,99,95,59.50399999999995,3.31
6,bredasdorp,ZA,2020-10-28 00:03:22,-34.53,20.04,100,87,59.26999999999996,1.5
7,ola,RU,2020-10-28 00:08:18,59.58,151.28,0,72,35.564000000000036,1.77
8,carnarvon,AU,2020-10-28 00:06:04,-24.87,113.63,0,64,75.46999999999997,10.8
9,bilma,NE,2020-10-28 00:15:07,18.69,12.92,0,28,66.00199999999998,1.02
10,amderma,,,,,,,,
11,meadow lake,US,2020-10-28 00:08:19,34.8,-106.54,75,80,32.26999999999996,1.5
12,havelock,US,2020-10-28 00:08:19,34.88,-76.9,40,93,66.46999999999997,1.12
13,saleaula,,,,,,,,
14,puerto penasco,MX,2020-10-28 00:08:19,31.32,-113.53,0,27,66.01999999999995,4.14
15,kapaa,US,2020-10-28 00:08:19,22.08,-159.32,40,78,79.06999999999996,5.1
16,castro,BR,2020-10-28 00:08:20,-24.79,-50.01,0,74,56.93000000000004,1.99
17,leshukonskoye,RU,2020-10-28 00:15:08,64.9,45.76,100,97,40.082000000000015,4.46
18,beyneu,KZ,2020-10-28 00:15:08,45.32,55.2,0,84,33.403999999999954,3.68
19,jamestown,US,2020-10-28 00:15:08,42.1,-79.24,90,100,41.26999999999996,2.2
20,ampanihy,MG,2020-10-28 00:08:20,-24.7,44.75,76,76,73.02200000000005,5.84
21,kargopol,RU,2020-10-28 00:08:20,61.51,38.95,100,89,45.03200000000002,5.2
22,bluff,NZ,2020-10-28 00:08:20,-46.6,168.33,72,79,54.266000000000005,5.36
23,taoudenni,ML,2020-10-28 00:08:20,22.68,-3.98,0,21,74.73200000000003,0.88
24,rikitea,PF,2020-10-28 00:08:21,-23.12,-134.97,100,84,75.68599999999998,6.93
25,punta arenas,CL,2020-10-28 00:08:21,-53.15,-70.92,40,80,41.26999999999996,9.8
26,thompson,CA,2020-10-28 00:15:09,55.74,-97.86,75,78,17.86999999999996,2.6
